Tour,City
Fall 2010,"Hopi Reservation, Arizona, USA"
Fall 2010,"Bullhead City, Arizona, USA"
Fall 2010,"Miao Li, Taiwan"
Fall 2010,"Pitou, Taiwan"
Fall 2010,"Taipei, Taiwan"
Fall 2010,"Boston, Massachusetts, USA"
Fall 2010,"Salisbury, Maryland, USA"
Fall 2010,"Washington, District of Columbia, USA"
Fall 2010,"Harrisonburg, Virginia, USA"
Fall 2010,"Mexico City, Mexico"
Fall 2010,"Aguascalientes, Mexico"
Fall 2010,"San Luis Potosí, Mexico"
Fall 2010,"Melchor Ocampo, Mexico"
Spring 2011,"Denver, Colorado, USA"
Spring 2011,"Orlando, Florida, USA"
Spring 2011,"Vero Beach, Florida, USA"
Spring 2011,"Freeport, Grand Bahama Island"
Spring 2011,"Fort Lauderdale, Florida, USA"
Spring 2011,"Lakeland, Florida, USA"
Spring 2011,"Brussels, Belgium"
Spring 2011,"Wassenaar, Netherlands"
Spring 2011,"Dronten, Netherlands"
Spring 2011,"Prague, Czech Republic"
Spring 2011,"Weinfelden, Switzerland"
Spring 2011,"México City, México"
Spring 2011,"Gómez Palacio, México"
Spring 2011,"Ciudad Cuauhtémoc, México"
Spring 2011,"Monterrey, México"
Spring 2011,"León, México"
Spring 2011,"Toluca, México"
Fall 2011,"Denver, Colorado, USA"
Fall 2011,"Canon City, Colorado, USA"
Fall 2011,"Durango, Colorado, USA"
Fall 2011,"Colorado Springs, Colorado, USA"
Fall 2011,"North Platte, Nebraska, USA"
Fall 2011,"Sioux Falls / Vermillion, South Dakota, USA"
Fall 2011,"Woodbury, Minnesota, USA"
Fall 2011,"Cleveland, Ohio, USA"
Fall 2011,"Chetumal, Mexico"
Fall 2011,"Zapopan / Guadalajara, Mexico"
Fall 2011,"Toluca, Mexico"
Fall 2011,"Los Mochis, Mexico"
Fall 2011,"Culiacan / Mazatlan, Mexico"
Fall 2011,"Empalme / Guaymas, Mexico"
Fall 2011,"Tucson, Arizona, USA"
Fall 2011,"Puerto Princesa, Philippines"
Fall 2011,"Tacloban, Philippines"
Fall 2011,"Narikina/Metro Manila, Philippines"
Spring 2012,"Denver, Colorado, USA"
Spring 2012,"Fort Collins, Colorado, USA"
Spring 2012,"Farmington, New Mexico, USA"
Spring 2012,"Silver City, New Mexico, USA"
Spring 2012,"Ruidoso, New Mexico, USA"
Spring 2012,"Tucson, Arizona, USA"
Spring 2012,"Hasselt, Belgium"
Spring 2012,"Vise, Belgium"
Spring 2012,"Gistel, Belgium"
Spring 2012,"Naestved, Denmark"
Spring 2012,"Oslo, Norway"
Spring 2012,"Stockholm, Sweden"
Spring 2012,"Eskilstuna, Sweden"
Spring 2012,"Seinajoki, Finland"
Spring 2012,"Kouvola, Finland"
Spring 2012,"Naucalpan, Mexico"
Spring 2012,"Aguascalientes, Mexico"
Spring 2012,"Guadalajara, Mexico"
Spring 2012,"Tlaxcala, Mexico"
Spring 2012,"Naucalpan, Mexico"
Fall 2012,"Denver, Colorado, USA"
Fall 2012,"Merrimack Valley/Lowell, Massachusetts, USA"
Fall 2012,"Hyannis/Cape Cod, Massachusetts, USA"
Fall 2012,"Newburyport, Massachusetts, USA"
Fall 2012,"Hamilton-Wenham, Massachusetts, USA"
Fall 2012,"Concord, Massachusetts, USA"
Fall 2012,"Plymouth, Massachusetts, USA"
Fall 2012,"Erlin / Yuanlin / Taichung, Taiwan"
Fall 2012,"Taipei, Taiwan"
Fall 2012,"Puerto Princesa, Philippines"
Fall 2012,"Manila, Philippines"
Fall 2012,"Mexico City, Mexico"
Fall 2012,"Naucalpan / Toluca, Mexico"
Fall 2012,"Cuidad Obregon, Mexico"
Fall 2012,"Hermosillo, Mexico"
Fall 2012,"Delicias, Mexico"
Fall 2012,"Cuidad Cuauhtemoc, Mexico"
Spring 2013,"Lakeland, Florida, USA"
Spring 2013,"Fort Myers, Florida, USA"
Spring 2013,"Orlando, Florida, USA"
Spring 2013,"Vero Beach, Florida, USA"
Spring 2013,"Statesboro, Georgia, USA"
Spring 2013,"North Atlanta, Georgia, USA"
Spring 2013,"Versoix, Geneva, Switzerland"
Spring 2013,"Weinfelden / Frauenfeld, Switzerland"
Spring 2013,"Neuchatel / La Chaux-de-Fonds, Switzerland"
Spring 2013,"Vaduz, Lichtenstein"
Spring 2013,"Apeldoorn / Eerbeek, Netherlands"
Spring 2013,"Mol / Oud-Turnhout, Belgium"
Spring 2013,"Sint-Pieters-Leeuw, Belgium"
Spring 2013,"Tielt, Belgium"
Spring 2013,"Naucalpan, Mexico"
Spring 2013,"Toluca, Mexico"
Spring 2013,"Santiago de Queretaro, Mexico"
Spring 2013,"San Luis Potosi, Mexico"
Fall 2013,"Denver, Colorado, USA"
Fall 2013,"Sheridan, Wyoming, USA"
Fall 2013,"Jackson, Wyoming, USA"
Fall 2013,"Bozeman, Montana, USA"
Fall 2013,"Billings, Montana, USA"
Fall 2013,"Northern Cheyenne Indian Reservation, Montana, USA"
Fall 2013,"Auburn, Washington, USA"
Fall 2013,"Seattle, Washington, USA"
Fall 2013,"Guaymas, Mexico"
Fall 2013,"Los Mochis, Mexico"
Fall 2013,"Mazatlan, Mexico"
Fall 2013,"Culiacan, Mexico"
Fall 2013,"Ciudad Obregon, Mexico"
Fall 2013,"Magdalena de Kino, Mexico"
Fall 2013,"Roskilde, Denmark"
Fall 2013,"Alingsas, Sweden"
Fall 2013,"Gothenburg, Sweden"
Fall 2013,"Vejle, Denmark"
Spring 2014,"Denver, Colorado, USA"
Spring 2014,"Vail Valley, Colorado, USA"
Spring 2014,"North Platte, Nebraska, USA"
Spring 2014,"Des Moines, Iowa, USA"
Spring 2014,"Sioux Falls, South Dakota, USA"
Spring 2014,"Chagrin Falls, Ohio, USA"
Spring 2014,"Cuernavaca, Mexico"
Spring 2014,"Manzanillo, Mexico"
Spring 2014,"Colima City, Mexico"
Spring 2014,"Naucalpan, Mexico"
Spring 2014,"Mexico City, Mexico"
Spring 2014,"Ransbach-Baumbach, Germany"
Spring 2014,"Schijndel, Netherlands"
Spring 2014,"Antwerpen, Belgium"
Spring 2014,"Bad Neuenahr-Ahrweiler, Germany"
Spring 2014,"Bern, Switzerland"
Spring 2014,"Herisau / St. Gallen, Switzerland"
Spring 2014,"Trieste, Italy"
Fall 2014,"Denver, Colorado, USA"
Fall 2014,"Lowell, Massachusetts, USA"
Fall 2014,"Cumberland, Rhode Island, USA"
Fall 2014,"Laconia, New Hampshire, USA"
Fall 2014,"Plymouth, Massachusetts, USA"
Fall 2014,"Harrisonburg, Virginia, USA"
Fall 2014,"Mexico City, Mexico"
Fall 2014,"Toluca, Mexico"
Fall 2014,"Guadalajara, Mexico"
Fall 2014,"Santa Clara, Cuba"
Fall 2014,"Havana, Cuba"
Fall 2014,"Naestved, Denmark"
Fall 2014,"Eupen, Belgium"
Fall 2014,"Maastricht, Netherlands"
Fall 2014,"Aachen, Germany"
Fall 2014,"Oberursel, Germany"
Fall 2014,"Solothurn, Switzerland"
Spring 2015,"Denver, Colorado, USA"
Spring 2015,"Farmington, New Mexico, USA"
Spring 2015,"Albuquerque, New Mexico, USA"
Spring 2015,"Tucson, Arizona, USA"
Spring 2015,"Orange County, California, USA"
Spring 2015,"Coachella Valley, California USA"
Spring 2015,"Guadalajara, Mexico"
Spring 2015,"Mexico City, Mexico"
Spring 2015,"Villahermosa, Mexico"
Spring 2015,"Merida, Mexico"
Spring 2015,"Cancun, Mexico"
Spring 2015,"Suhr, Switzerland"
Spring 2015,"Brig, Switzerland"
Spring 2015,"Wolfrathausen, Germany"
Spring 2015,"Rheinfelden, Germany"
Spring 2015,"Apeldoorn, Netherlands"
Fall 2015,"Denver, Colorado, USA"
Fall 2015,"Orlando, Florida, USA"
Fall 2015,"North Fulton County, Georgia, USA"
Fall 2015,"Hall County, Georgia, USA"
Fall 2015,"Statesboro, Georgia, USA"
Fall 2015,"Melbourne, Florida, USA"
Fall 2015,"Venice, Florida, USA"
Fall 2015,"Aguascalientes, Mexico"
Fall 2015,"Monterrey, Mexico"
Fall 2015,"Zacatlan, Mexico"
Fall 2015,"Toluca, Mexico"
Fall 2015,"Puebla, Mexico"
Fall 2015,"Oostende, Belgium"
Fall 2015,"Antwerp, Belgium"
Fall 2015,"Neuchatel, Switzerland"
Fall 2015,"Weinfelden-Frauenfeld, Switzerland"
Fall 2015,"Vaduz, Liechtenstein"
Fall 2015,"Rome, Italy"
Spring 2016,"Denver, Colorado, USA"
Spring 2016,"Des Moines, Iowa, USA"
Spring 2016,"Pepper Pike, Ohio, USA"
Spring 2016,"Watertown, South Dakota, USA"
Spring 2016,"Sioux Falls, South Dakota, USA"
Spring 2016,"Topeka, Kansas, USA"
Spring 2016,"Houston, Texas, USA"
Spring 2016,"San Luis Potosi, Mexico"
Spring 2016,"Naucalpan, Mexico"
Spring 2016,"Mexico City, Mexico"
Spring 2016,Bermuda
Spring 2016,"Falkoping, Sweden"
Spring 2016,"Copenhagen, Denmark"
Spring 2016,"Helsingborg, Sweden"
Spring 2016,Genk Belgium
